,Season,Team,position,points,gd
0,1993,Manchester Utd,1,84,36
1,1993,Aston Villa,2,74,17
2,1993,Norwich City,3,72,-4
3,1993,Blackburn,4,71,22
4,1993,QPR,5,63,8
5,1993,Liverpool,6,59,7
6,1993,Sheffield Weds,7,59,4
7,1993,Tottenham,8,59,-6
8,1993,Manchester City,9,57,5
9,1993,Arsenal,10,56,2
10,1993,Chelsea,11,56,-3
11,1993,Wimbledon,12,54,1
12,1993,Everton,13,53,-2
13,1993,Sheffield Utd,14,52,1
14,1993,Coventry City,15,52,-5
15,1993,Ipswich Town,16,52,-5
16,1993,Leeds United,17,51,-5
17,1993,Southampton,18,50,-7
18,1993,Oldham Athletic,19,49,-11
19,1993,Crystal Palace,20,49,-13
20,1993,Middlesbrough,21,44,-21
21,1993,Nottingham Forest,22,40,-21
22,1994,Manchester Utd,1,92,42
23,1994,Blackburn,2,84,27
24,1994,Newcastle Utd,3,77,41
25,1994,Arsenal,4,71,25
26,1994,Leeds United,5,70,26
27,1994,Wimbledon,6,65,3
28,1994,Sheffield Weds,7,64,22
29,1994,Liverpool,8,60,4
30,1994,QPR,9,60,1
31,1994,Aston Villa,10,57,-4
32,1994,Coventry City,11,56,-2
33,1994,Norwich City,12,53,4
34,1994,West Ham,13,52,-11
35,1994,Chelsea,14,51,-4
36,1994,Tottenham,15,45,-5
37,1994,Manchester City,16,45,-11
38,1994,Everton,17,44,-21
39,1994,Southampton,18,43,-17
40,1994,Ipswich Town,19,43,-23
41,1994,Sheffield Utd,20,42,-18
42,1994,Oldham Athletic,21,40,-26
43,1994,Swindon Town,22,30,-53
44,1995,Blackburn,1,89,41
45,1995,Manchester Utd,2,88,48
46,1995,Nottingham Forest,3,77,29
47,1995,Liverpool,4,74,28
48,1995,Leeds United,5,73,21
49,1995,Newcastle Utd,6,72,20
50,1995,Tottenham,7,62,8
51,1995,QPR,8,60,2
52,1995,Wimbledon,9,56,-17
53,1995,Southampton,10,54,-2
54,1995,Chelsea,11,54,-5
55,1995,Arsenal,12,51,4
56,1995,Sheffield Weds,13,51,-8
57,1995,West Ham,14,50,-4
58,1995,Everton,15,50,-7
59,1995,Coventry City,16,50,-18
60,1995,Manchester City,17,49,-11
61,1995,Aston Villa,18,48,-5
62,1995,Crystal Palace,19,45,-15
63,1995,Norwich City,20,43,-17
64,1995,Leicester City,21,29,-35
65,1995,Ipswich Town,22,27,-57
66,1996,Manchester Utd,1,82,38
67,1996,Newcastle Utd,2,78,29
68,1996,Liverpool,3,71,36
69,1996,Aston Villa,4,63,17
70,1996,Arsenal,5,63,17
71,1996,Everton,6,61,20
72,1996,Blackburn,7,61,14
73,1996,Tottenham,8,61,12
74,1996,Nottingham Forest,9,58,-4
75,1996,West Ham,10,51,-9
76,1996,Chelsea,11,50,2
77,1996,Middlesbrough,12,43,-15
78,1996,Leeds United,13,43,-17
79,1996,Wimbledon,14,41,-15
80,1996,Sheffield Weds,15,40,-13
81,1996,Coventry City,16,38,-18
82,1996,Southampton,17,38,-18
83,1996,Manchester City,18,38,-25
84,1996,QPR,19,33,-19
85,1996,Bolton,20,29,-32
86,1997,Manchester Utd,1,75,32
87,1997,Newcastle Utd,2,68,33
88,1997,Arsenal,3,68,30
89,1997,Liverpool,4,68,25
90,1997,Aston Villa,5,61,13
91,1997,Chelsea,6,59,3
92,1997,Sheffield Weds,7,57,-1
93,1997,Wimbledon,8,56,3
94,1997,Leicester City,9,47,-8
95,1997,Tottenham,10,46,-7
96,1997,Leeds United,11,46,-10
97,1997,Derby County,12,46,-13
98,1997,Blackburn,13,42,-1
99,1997,West Ham,14,42,-9
100,1997,Everton,15,42,-13
101,1997,Southampton,16,41,-6
102,1997,Coventry City,17,41,-16
103,1997,Sunderland,18,40,-18
104,1997,Middlesbrough,19,39,-9
105,1997,Nottingham Forest,20,34,-28
106,1998,Arsenal,1,78,35
107,1998,Manchester Utd,2,77,47
108,1998,Liverpool,3,65,26
109,1998,Chelsea,4,63,28
110,1998,Leeds United,5,59,11
111,1998,Blackburn,6,58,5
112,1998,Aston Villa,7,57,1
113,1998,West Ham,8,56,-1
114,1998,Derby County,9,55,3
115,1998,Leicester City,10,53,10
116,1998,Coventry City,11,52,2
117,1998,Southampton,12,48,-5
118,1998,Newcastle Utd,13,44,-9
119,1998,Tottenham,14,44,-12
120,1998,Wimbledon,15,44,-12
121,1998,Sheffield Weds,16,44,-15
